,Code zone,Zone,Année,Valeur
0,2,Afghanistan,2013,30552
1,202,Afrique du Sud,2013,52776
2,3,Albanie,2013,3173
3,4,Algérie,2013,39208
4,79,Allemagne,2013,82727
5,7,Angola,2013,21472
6,8,Antigua-et-Barbuda,2013,90
7,194,Arabie saoudite,2013,28829
8,9,Argentine,2013,41446
9,1,Arménie,2013,2977
10,10,Australie,2013,23343
11,11,Autriche,2013,8495
12,52,Azerbaïdjan,2013,9413
13,12,Bahamas,2013,377
14,16,Bangladesh,2013,156595
15,14,Barbade,2013,285
16,57,Bélarus,2013,9357
17,255,Belgique,2013,11104
18,23,Belize,2013,332
19,53,Bénin,2013,10323
20,17,Bermudes,2013,65
21,19,Bolivie (État plurinational de),2013,10671
22,80,Bosnie-Herzégovine,2013,3829
23,20,Botswana,2013,2021
24,21,Brésil,2013,200362
25,26,Brunéi Darussalam,2013,418
26,27,Bulgarie,2013,7223
27,233,Burkina Faso,2013,16935
28,35,Cabo Verde,2013,499
29,115,Cambodge,2013,15135
30,32,Cameroun,2013,22254
31,33,Canada,2013,35182
32,40,Chili,2013,17620
33,351,Chine,2013,1416667
34,96,Chine - RAS de Hong-Kong,2013,7204
35,128,Chine - RAS de Macao,2013,566
36,41,"Chine, continentale",2013,1385567
37,214,"Chine, Taiwan Province de",2013,23330
38,50,Chypre,2013,1141
39,44,Colombie,2013,48321
40,46,Congo,2013,4448
41,48,Costa Rica,2013,4872
42,107,Côte d'Ivoire,2013,20316
43,98,Croatie,2013,4290
44,49,Cuba,2013,11266
45,54,Danemark,2013,5619
46,72,Djibouti,2013,873
47,55,Dominique,2013,72
48,59,Égypte,2013,82056
49,60,El Salvador,2013,6340
50,225,Émirats arabes unis,2013,9346
51,58,Équateur,2013,15738
52,203,Espagne,2013,46927
53,63,Estonie,2013,1287
54,209,Eswatini,2013,1250
55,231,États-Unis d'Amérique,2013,320051
56,238,Éthiopie,2013,94101
57,185,Fédération de Russie,2013,142834
58,66,Fidji,2013,881
59,67,Finlande,2013,5426
60,68,France,2013,64291
61,74,Gabon,2013,1672
62,75,Gambie,2013,1849
63,73,Géorgie,2013,4341
64,81,Ghana,2013,25905
65,84,Grèce,2013,11128
66,86,Grenade,2013,106
67,89,Guatemala,2013,15468
68,90,Guinée,2013,11745
69,175,Guinée-Bissau,2013,1704
70,91,Guyana,2013,800
71,93,Haïti,2013,10317
72,95,Honduras,2013,8096
73,97,Hongrie,2013,9955
74,25,Îles Salomon,2013,561
75,100,Inde,2013,1252140
76,101,Indonésie,2013,249866
77,102,Iran (République islamique d'),2013,77447
78,103,Iraq,2013,33765
79,104,Irlande,2013,4627
80,99,Islande,2013,330
81,105,Israël,2013,7733
82,106,Italie,2013,60990
83,109,Jamaïque,2013,2784
84,110,Japon,2013,127144
85,112,Jordanie,2013,7274
86,108,Kazakhstan,2013,16441
87,114,Kenya,2013,44354
88,113,Kirghizistan,2013,5548
89,83,Kiribati,2013,102
90,118,Koweït,2013,3369
91,122,Lesotho,2013,2074
92,119,Lettonie,2013,2050
93,121,Liban,2013,4822
94,123,Libéria,2013,4294
95,126,Lituanie,2013,3017
96,256,Luxembourg,2013,530
97,154,Macédoine du Nord,2013,2107
98,129,Madagascar,2013,22925
99,131,Malaisie,2013,29717
100,130,Malawi,2013,16363
101,132,Maldives,2013,345
102,133,Mali,2013,15302
103,134,Malte,2013,429
104,143,Maroc,2013,33008
105,137,Maurice,2013,1244
106,136,Mauritanie,2013,3890
107,138,Mexique,2013,122332
108,141,Mongolie,2013,2839
109,273,Monténégro,2013,621
110,144,Mozambique,2013,25834
111,28,Myanmar,2013,53259
112,147,Namibie,2013,2303
113,149,Népal,2013,27797
114,157,Nicaragua,2013,6080
115,158,Niger,2013,17831
116,159,Nigéria,2013,173615
117,162,Norvège,2013,5043
118,153,Nouvelle-Calédonie,2013,256
119,156,Nouvelle-Zélande,2013,4506
120,221,Oman,2013,3632
121,226,Ouganda,2013,37579
122,235,Ouzbékistan,2013,28934
123,165,Pakistan,2013,182143
124,166,Panama,2013,3864
125,169,Paraguay,2013,6802
126,150,Pays-Bas,2013,16759
127,170,Pérou,2013,30376
128,171,Philippines,2013,98394
129,173,Pologne,2013,38217
130,70,Polynésie française,2013,277
131,174,Portugal,2013,10608
132,37,République centrafricaine,2013,4616
133,117,République de Corée,2013,49263
134,146,République de Moldova,2013,3487
135,120,République démocratique populaire lao,2013,6770
136,56,République dominicaine,2013,10404
137,116,République populaire démocratique de Corée,2013,24895
