Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5511","Production","2511","Blé et produits","2011","2011","Milliers de tonnes","692023","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5611","Importations - Quantité","2511","Blé et produits","2011","2011","Milliers de tonnes","178534","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5072","Variation de stock","2511","Blé et produits","2011","2011","Milliers de tonnes","-19536","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5911","Exportations - Quantité","2511","Blé et produits","2011","2011","Milliers de tonnes","182996","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5301","Disponibilité intérieure","2511","Blé et produits","2011","2011","Milliers de tonnes","668025","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5521","Aliments pour animaux","2511","Blé et produits","2011","2011","Milliers de tonnes","132917","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5527","Semences","2511","Blé et produits","2011","2011","Milliers de tonnes","33910","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5123","Pertes","2511","Blé et produits","2011","2011","Milliers de tonnes","26341","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5131","Traitement","2511","Blé et produits","2011","2011","Milliers de tonnes","6370","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5154","Autres utilisations (non alimentaire)","2511","Blé et produits","2011","2011","Milliers de tonnes","21671","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2511","Blé et produits","2011","2011","Milliers de tonnes","446932","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2511","Blé et produits","2011","2011","kg","65.27","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","664","Disponibilité alimentaire (Kcal/personne/jour)","2511","Blé et produits","2011","2011","Kcal/personne/jour","526","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","674","Disponibilité de protéines en quantité (g/personne/jour)","2511","Blé et produits","2011","2011","g/personne/jour","15.88","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","684","Disponibilité de matière grasse en quantité (g/personne/jour)","2511","Blé et produits","2011","2011","g/personne/jour","2.41","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5511","Production","2805","Riz et produits","2011","2011","Milliers de tonnes","482932","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5611","Importations - Quantité","2805","Riz et produits","2011","2011","Milliers de tonnes","34647","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5072","Variation de stock","2805","Riz et produits","2011","2011","Milliers de tonnes","-12062","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5911","Exportations - Quantité","2805","Riz et produits","2011","2011","Milliers de tonnes","38845","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5301","Disponibilité intérieure","2805","Riz et produits","2011","2011","Milliers de tonnes","466672","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5521","Aliments pour animaux","2805","Riz et produits","2011","2011","Milliers de tonnes","33044","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5527","Semences","2805","Riz et produits","2011","2011","Milliers de tonnes","12018","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5123","Pertes","2805","Riz et produits","2011","2011","Milliers de tonnes","27982","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5131","Traitement","2805","Riz et produits","2011","2011","Milliers de tonnes","6148","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5154","Autres utilisations (non alimentaire)","2805","Riz et produits","2011","2011","Milliers de tonnes","16298","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","5142","Nourriture","2805","Riz et produits","2011","2011","Milliers de tonnes","371185","A","Agrégat, peut inclure des données officielles, semi-officielles, estimées ou calculées"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","645","Disponibilité alimentaire en quantité (kg/personne/an)","2805","Riz et produits","2011","2011","kg","54.2","Fc","Donnée calculée"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","5000","Monde","664","Disponibilité alimentaire (Kcal/personne/jour)","2805","Riz et produits","2011","2011","Kcal/personne/jour","545","Fc","Donnée calculée"
