Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","2","Afghanistan","511","Population totale","2501","Population","2011","2011","1000 personnes","29105","","Donnée officielle"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","202","Afrique du Sud","511","Population totale","2501","Population","2011","2011","1000 personnes","51949","","Donnée officielle"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","3","Albanie","511","Population totale","2501","Population","2011","2011","1000 personnes","3154","","Donnée officielle"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","4","Algérie","511","Population totale","2501","Population","2011","2011","1000 personnes","37763","","Donnée officielle"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","79","Allemagne","511","Population totale","2501","Population","2011","2011","1000 personnes","82893","","Donnée officielle"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","7","Angola","511","Population totale","2501","Population","2011","2011","1000 personnes","20180","","Donnée officielle"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","8","Antigua-et-Barbuda","511","Population totale","2501","Population","2011","2011","1000 personnes","88","","Donnée officielle"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","194","Arabie saoudite","511","Population totale","2501","Population","2011","2011","1000 personnes","27762","","Donnée officielle"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","9","Argentine","511","Population totale","2501","Population","2011","2011","1000 personnes","40729","","Donnée officielle"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","1","Arménie","511","Population totale","2501","Population","2011","2011","1000 personnes","2964","","Donnée officielle"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","10","Australie","511","Population totale","2501","Population","2011","2011","1000 personnes","22741","","Donnée officielle"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","11","Autriche","511","Population totale","2501","Population","2011","2011","1000 personnes","8433","","Donnée officielle"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","52","Azerbaïdjan","511","Population totale","2501","Population","2011","2011","1000 personnes","9202","","Donnée officielle"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","12","Bahamas","511","Population totale","2501","Population","2011","2011","1000 personnes","366","","Donnée officielle"
"FBSH","Bilans Alimentaire (Ancienne méthodologie et population)","16","Bangladesh","511","Population totale","2501","Population","2011","2011","1000 personnes","152862","","Donnée officielle"
