Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","29","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","514","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","20","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","2","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","842","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","277","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","7","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","744","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","9","Argentine","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","8","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","1","Arménie","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","35","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","16","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","110","Im","Données de la FAO basées sur une méthodologie d'imputation"
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","5611","Importations - Quantité","2734","Viande de Volailles","2017","2017","Milliers de tonnes","27","Im","Données de la FAO basées sur une méthodologie d'imputation"
