Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","511","Population totale","2501","Population","2017","2017","1000 personnes","82658","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","511","Population totale","2501","Population","2017","2017","1000 personnes","8820","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","511","Population totale","2501","Population","2017","2017","1000 personnes","11420","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","27","Bulgarie","511","Population totale","2501","Population","2017","2017","1000 personnes","7102","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","50","Chypre","511","Population totale","2501","Population","2017","2017","1000 personnes","1180","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","98","Croatie","511","Population totale","2501","Population","2017","2017","1000 personnes","4183","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","54","Danemark","511","Population totale","2501","Population","2017","2017","1000 personnes","5732","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","203","Espagne","511","Population totale","2501","Population","2017","2017","1000 personnes","46647","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","63","Estonie","511","Population totale","2501","Population","2017","2017","1000 personnes","1319","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","67","Finlande","511","Population totale","2501","Population","2017","2017","1000 personnes","5511","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","68","France","511","Population totale","2501","Population","2017","2017","1000 personnes","66769","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","84","Grèce","511","Population totale","2501","Population","2017","2017","1000 personnes","10569","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","97","Hongrie","511","Population totale","2501","Population","2017","2017","1000 personnes","9730","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","104","Irlande","511","Population totale","2501","Population","2017","2017","1000 personnes","4753","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","106","Italie","511","Population totale","2501","Population","2017","2017","1000 personnes","60674","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","119","Lettonie","511","Population totale","2501","Population","2017","2017","1000 personnes","1951","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","126","Lituanie","511","Population totale","2501","Population","2017","2017","1000 personnes","2845","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","256","Luxembourg","511","Population totale","2501","Population","2017","2017","1000 personnes","592","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","134","Malte","511","Population totale","2501","Population","2017","2017","1000 personnes","438","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","150","Pays-Bas","511","Population totale","2501","Population","2017","2017","1000 personnes","17021","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","173","Pologne","511","Population totale","2501","Population","2017","2017","1000 personnes","37953","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","174","Portugal","511","Population totale","2501","Population","2017","2017","1000 personnes","10289","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","183","Roumanie","511","Population totale","2501","Population","2017","2017","1000 personnes","19654","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","229","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","511","Population totale","2501","Population","2017","2017","1000 personnes","66727","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","199","Slovaquie","511","Population totale","2501","Population","2017","2017","1000 personnes","5448","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","198","Slovénie","511","Population totale","2501","Population","2017","2017","1000 personnes","2076","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","210","Suède","511","Population totale","2501","Population","2017","2017","1000 personnes","9905","*","Chiffre non officiel"
"FBS","Nouveaux Bilans Alimentaire","167","Tchéquie","511","Population totale","2501","Population","2017","2017","1000 personnes","10641","*","Chiffre non officiel"
